,sy_dist
1133,344.05
1134,344.05
1135,344.05
1136,344.05
1137,344.05
1138,344.05
1139,344.05
1140,289.205
1141,289.205
1142,289.205
1143,289.205
1144,289.205
1145,289.205
1146,289.205
1147,289.205
1148,289.205
1149,289.205
1150,289.205
1151,289.205
1152,289.205
1153,396.11
1154,396.11
1155,396.11
1156,396.11
1157,396.11
1158,396.11
1159,396.11
1160,396.11
1161,249.325
1162,249.325
1163,249.325
1164,249.325
1165,249.325
1166,249.325
1167,249.325
1168,249.325
1169,249.325
1170,249.325
1171,249.325
1172,506.965
1173,506.965
1174,506.965
1175,506.965
1176,506.965
1177,506.965
1178,506.965
1179,294.419
1180,294.419
1181,294.419
1182,294.419
1183,294.419
1184,294.419
1185,294.419
1186,294.419
1187,294.419
1188,294.419
1189,294.419
1190,390.594
1191,390.594
1192,390.594
1193,390.594
1194,390.594
1195,390.594
1196,390.594
1197,255.206
1198,255.206
1199,255.206
1200,255.206
1201,255.206
1202,255.206
1203,255.206
1204,697.004
1205,697.004
1206,697.004
1207,697.004
1208,320.451
1209,320.451
1210,320.451
1211,320.451
1212,320.451
1213,320.451
1214,320.451
1215,320.451
1216,320.451
1217,320.451
1218,320.451
1219,320.451
1220,464.469
1221,464.469
1222,464.469
1223,464.469
1224,464.469
1225,464.469
1226,464.469
1227,348.185
1228,348.185
1229,348.185
1230,348.185
1231,348.185
1232,348.185
1233,348.185
1234,348.185
1235,405.238
1236,405.238
1237,405.238
1238,405.238
1239,405.238
1240,405.238
1241,405.238
1242,528.825
1243,528.825
1244,528.825
1245,528.825
1246,528.825
1247,528.825
1248,528.825
1249,528.825
1250,347.85
1251,347.85
1252,347.85
1253,347.85
1254,347.85
1255,347.85
1256,347.85
1257,298.64
1258,298.64
1259,298.64
1260,298.64
1261,298.64
1262,298.64
1263,290.736
1264,290.736
1265,290.736
1266,290.736
1267,290.736
1268,350.351
1269,350.351
1270,350.351
1271,350.351
1272,350.351
1273,350.351
1274,350.351
1275,303.336
1276,303.336
1277,303.336
1278,303.336
1279,303.336
1280,303.336
1281,303.336
1282,303.336
1283,303.336
1284,303.336
1285,515.458
1286,515.458
1287,515.458
1288,515.458
1289,515.458
1290,515.458
1291,515.458
1292,440.089
1293,440.089
1294,440.089
1295,440.089
1296,440.089
1297,440.089
1298,361.155
1299,361.155
1300,361.155
1301,361.155
1302,361.155
1303,361.155
1304,361.155
1305,666.802
1306,666.802
1307,666.802
1308,666.802
1309,666.802
1310,666.802
1311,143.651
1312,143.651
1313,143.651
1314,143.651
1315,143.651
1316,143.651
1317,143.651
1318,143.651
1319,143.651
1320,511.388
1321,511.388
1322,511.388
1323,511.388
1324,511.388
1325,511.388
1326,511.388
1327,511.388
1328,320.639
1329,320.639
1330,320.639
1331,320.639
1332,320.639
1333,320.639
1334,320.639
1335,320.639
1336,320.639
1337,320.639
1338,320.639
1339,279.86
1340,279.86
1341,279.86
1342,279.86
1343,279.86
1344,515.59
1345,515.59
1346,515.59
1347,265.471
1348,265.471
1349,265.471
1350,265.471
1351,275.358
1352,275.358
1353,275.358
1354,275.358
1355,275.358
1356,275.358
1357,275.358
1358,275.358
1359,275.358
1360,275.358
1361,275.358
1362,233.22
1363,233.22
1364,233.22
1365,338.84
1366,338.84
1367,348.815
1368,348.815
1369,348.815
1370,403.458
1371,403.458
1372,651.897
1373,651.897
1374,651.897
1375,738.519
1376,738.519
1377,738.519
1378,738.519
1379,738.519
1380,935.456
1381,935.456
1382,935.456
1383,935.456
1384,935.456
1385,371.686
1386,371.686
1387,371.686
1388,371.686
1389,202.152
1390,202.152
1391,202.152
1392,341.263
1393,341.263
1394,341.263
1395,341.263
1396,341.263
1397,341.079
1398,341.079
1399,341.079
1400,341.079
1401,341.079
1402,341.079
1403,341.079
1404,341.079
1405,341.079
1406,341.079
1407,341.079
1408,341.079
1409,341.079
1410,341.079
1411,341.079
1412,341.079
1413,341.079
1414,341.079
1415,341.079
1416,341.079
1417,341.079
1418,341.079
1419,330.739
1420,330.739
1421,330.739
1422,330.739
1423,330.739
1424,211.553
1425,211.553
1426,211.553
1427,211.553
1428,211.553
1429,211.553
1430,211.553
1431,211.553
1432,211.553
1433,455.203
1434,455.203
1435,455.203
1436,455.203
1437,455.203
1438,455.203
1439,455.203
1440,455.203
1441,455.203
1442,455.203
1443,283.971
1444,283.971
1445,283.971
1446,283.971
1447,283.971
1448,283.971
1449,534.889
1450,534.889
1451,534.889
1452,944.603
1453,944.603
1454,944.603
1455,944.603
1456,944.603
1457,944.603
1458,746.138
1459,746.138
1460,746.138
1461,746.138
1462,746.138
1463,746.138
1464,421.855
1465,421.855
1466,421.855
1467,421.855
1468,421.855
1469,421.855
1470,421.855
1471,513.011
1472,513.011
1473,513.011
1474,513.011
1475,513.011
1476,513.011
