,pl_orbper
1013,5.63346785
1014,5.6
1015,5.63347
1017,8500.0
1018,2.8753187
1019,2.87531693
1020,2.8753183
1021,2.875317
1022,2.87531694
1024,2.9
1025,2.87531738
1026,2.8753186
1027,2.87531773
1028,4.12448
1029,4.12448799
1030,4.124481
1031,4.1244833
1032,4.12448852
1033,4.1244799
1034,4.124481
1035,3.212233
1036,3.21222
1038,3.2122302
1039,3.21223242
1040,3.21222
1041,3.21223265
1042,3.2122312
1043,3.21222
1044,3.21223328
1045,3.21223218
1047,1.21288
1048,1.21291385
1049,1.2128864
1050,1.212884
1051,1.212884
1052,1.2128864
1053,1.21288287
1054,1.21288644
1055,1.21288287
1056,1.2128867
1057,3.355246
1058,3.3552479
1059,3.35524439
1060,3.35524
1061,3.35524
1062,3.3552499
1064,3.3552464
1066,3.35524397
1067,3.652821
1068,3.65281591
1069,3.65281532
1070,3.652836
1071,3.6528162
1072,3.65281514
1073,3.652836
1074,3.65281524
1075,4.2345002
1076,4.23421531
1077,4.23452
1078,4.234503
1079,4.2345023
1080,4.234516
1082,4.2345026
1083,4.2345002
1084,3.0395802
1085,3.0395824
1086,3.0395778
1087,3.0395803
1088,3.039577
1089,3.03908507
1090,3.039586
1091,3.03957804
1092,3.257215
1093,3.257215
1094,3.25721296
1095,3.2573898
1096,3.2572129
1098,5.7233773
1099,5.723371
1100,5.7233724
1101,5.7233685
1102,5.72385819
1103,5.72319
1104,5.72339
1105,5.723186
1106,5.72339
1107,2.899738
1108,2.89973838
1109,2.8997405
1110,2.89973815
1111,2.89973826
1112,2.899737
1113,2.8997
1114,2.899736
1115,2.899736
1116,2.899703
1117,2.8997379
1118,2.899736
1119,2.899736
1120,2.899703
1121,2.8106006
1122,2.81060126
1123,2.810595
1124,2.8106084
1125,2.8106016
1126,2.8106
1128,2.810595
1129,2.8106007
1130,2.81060097
1131,5.0052724
1132,5.0052605
1133,5.005419
1134,5.005425
1135,5.005425
1136,5.0052702
1137,5.00542
1139,5.0052704
1140,2.150008
1141,2.15000805
1142,2.150008
1144,2.1500085
1145,2.15000825
1146,2.1500082
1148,2.1500079
1149,2.15001
1150,2.1500082
1151,2.14999072
1152,2.15000825
1153,3.47447613
1154,3.474474
1155,3.4744767
1156,3.474474
1157,3.4744763
1158,3.47447
1160,3.47447703
1161,5.4526479
1162,5.452647
1163,5.45264682
1164,5.45265
1166,5.4526576
1168,5.452654
1169,5.452654
1171,5.452654
1172,3.6466594
1173,3.646706
1174,3.646706
1175,3.64666121
1176,3.6466566
1177,3.6466584
1178,3.64671
1179,1.32734681
1180,1.32734682
1181,1.327347
1182,1.32734683
1183,1.3273468
1184,1.32734683
1185,1.32734686
1186,1.3273482
1187,1.327347
1188,1.3273466
1189,1.32735
1190,2.79744256
1191,2.7974414
1192,2.7974471
1193,2.7974424
1194,2.797436
1195,2.797436
1196,2.79747574
1197,4.6403288
1198,4.64032787
1199,4.6403276
1200,4.64012692
1201,4.640382
1202,4.640382
1203,4.6403293
1204,3.5438737
1205,3.54387
1206,3.5438893
1207,3.54387
1208,3.05652301
1209,3.0565195
1210,3.05652372
1211,3.056536
1212,3.0565195
1213,3.0565233
1214,3.056536
1215,3.0565259
1217,3.056328
1218,3.0565254
1219,3.0565114
1220,4.4572173
1221,4.45724
1222,4.457243
1223,4.4572184
1224,4.457243
1225,4.45714437
1226,4.4572181
1227,2.69405
1228,2.694047
1230,2.694047
1231,2.69404968
1232,2.69403478
1233,2.6940497
1234,2.694047
1235,4.64183885
1236,4.641878
1237,4.6418368
1238,4.641878
1239,4.6418381
1240,4.6418499
1241,4.6418402
1242,3.3326812
1243,3.3326808
1244,3.332687
1245,3.332687
1246,3.332683
1247,3.332683
1248,3.33268054
1249,3.3326414
1250,4.30119
1251,4.30119043
1252,4.3011902
1253,4.3011886
1254,4.3011975
1255,4.301219
1256,872.2
1257,3.12899225
1258,3.128992
1259,3.12904756
1260,3.1289923
1261,3.128992
1262,3.12899506
1263,4.463129
1264,4.46266466
1265,4.4631365
1266,4.46313574
1267,4.463137
1268,2.69155
1269,2.6915535
1270,2.69155547
1271,2.691548
1272,2.69156138
1273,2.69155536
1274,2.691548
1275,2.7884736
1276,2.788491
1277,2.7884732
1278,2.78847323
1279,2.788491
1280,2.788491
1281,2.78847332
1282,2.7884735
1283,2.78847227
1284,2.78849
1285,3.1220237
1286,3.1220157
1287,3.1220109
1288,3.1220109
1289,3.12200511
1290,3.1220018
1291,3.12200544
1292,4.21802122
1293,4.2180278
1294,4.2180278
1295,4.2180226
1296,4.21802091
1297,4.2186625
1298,2.7535993
1299,2.75359762
1300,2.7535973
1301,2.7535953
1302,2.7535953
1303,2.7535976
1304,2.7535965
1305,1.9618085
1306,1.9616248
1307,1.9616241
1308,1.9616241
1309,1.96162371
1310,1.96162529
1311,3.7998534
1312,3.799847
1313,3.79985297
1314,3.7998451
1315,3.7998529
1316,3.7999139
1317,3.799847
1318,3.799878
1319,3.80001
1320,3.58523207
1321,3.5852329
1322,3.58523164
1323,3.5852467
1324,3.5852467
1325,3.5852313
1326,3.5852465
1327,3.58522837
1328,2.7908327
1329,2.7908235
1330,2.790833
1331,2.79082479
1332,2.79083
1333,2.790862
1334,2.790963
1335,2.79082577
1336,2.7908821
1337,2.7908327
1338,2.790825
1339,2.4652946
1340,2.4651801
1341,2.465295
1342,2.46529488
1343,2.4653
1344,4.0138379
1345,4.01357005
1346,4.0138358
1347,4.14198051
1348,4.141977
1349,4.1419771
1350,4.1419776
1351,3.853003
1352,3.85298
1353,3.85299849
1355,3.85299668
1356,3.853003
1357,3.8529962
1358,3.8529962
1360,3.852985
1361,3.852985
1362,4.7947925
1363,4.7947729
1364,4.7947813
1365,1.90231289
1366,1.90250318
1367,2.64532306
1368,2.64521209
1369,2.6453235
1370,3.37774193
1371,3.377728
1372,4.007232
1373,4.0072342
1374,4.007232
1375,2.6054552
1376,2.6054485
1377,2.60544751
1378,2.60544724
1379,2.60526737
1380,2.972086
1381,2.972089
1382,2.9720887
1383,2.9720774
1384,2.972086
1385,4.8101042
1386,4.8101046
1387,4.8101025
1388,4.8099755
1389,2.2983835
1390,2.29840551
1391,2.29840555
1392,4.7869491
1393,4.7869568
1394,4.786958
1395,4.7869883
1396,4.7869491
1397,2.2047304
1399,2.20474
1400,2.20473542
1401,2.2047363
1402,2.204736
1403,2.2046665
1404,2.20473536
1405,2.20473542
1406,2.20473537
1407,2.204737
1408,2.2047354
1409,2.20473536
1410,2.2047354
1411,2.2047304
1412,2.204737
1414,2.20473657
1415,2.2047372
1416,2.20473536
1418,2.20473536
1419,2.7443216
1420,2.7443245
1421,2.74431939
1422,2.74432
1423,2.74432452
1424,3.0763458
1425,3.0763373
1426,3.0763427
1427,3.0763776
1428,3.07634
1430,3.07632904
1431,3.07634347
1432,3.0763433
1433,3.92281147
1434,3.92289
1435,3.92289
1436,3.922814
1437,3.9228105
1438,3.92281072
1439,3.922814
1440,3.9228042
1441,3.9228108
1442,3.92281131
1443,3.4464553
1444,3.4464563
1445,3.446459
1446,3.44645559
1447,3.44645291
1448,3.446459
1449,3.312846
1450,3.3128281
1451,3.312846
1452,3.6191613
1453,3.619192
1454,3.619188
1455,3.6191634
1456,3.619167
1457,3.6191546
1458,3.14272
1459,3.1428347
1460,3.142833
1461,3.142811
1462,3.142846
1463,3.142702
1464,3.04405362
1465,3.0440499
1466,3.0440511
1467,3.04405314
1468,3.04405407
1469,3.0440499
1470,3.0440546
1471,2.76675696
1472,2.766763
1473,2.76676001
1474,2.7667641
1475,2.766764
1476,2.7667641
1477,1.74748753
1478,2.686502
1479,2.68650415
1480,2.6865049
1481,2.6865009
1482,16.254613
1483,16.254688
1484,16.254611
1485,16.254686
1486,16.2546802
1487,0.8378434
1488,0.8378434
1489,0.83784
1490,0.83784528
1491,0.83784
1492,1.35413417
1493,1.35413379
1494,1.354133
1495,1.35413371
1496,1.35413368
1497,1.354133
1498,1.354133
1499,4.7228189
1500,4.72281583
1501,4.72281727
1502,4.72281596
1503,4.7228124
1504,4.7228127
1505,2.160344
1506,2.1605107
1507,2.1605156
1508,1.3484978
1509,1.34849676
1510,1.3484954
1511,1.3484978
1512,1.34849613
1513,1.3484975
1514,1.34849689
1515,1.3484963
1516,4.29864716
1517,4.29864661
1518,4.2986471
1519,4.298643
1520,4.2986432
1521,3.3023935
1522,3.3023886
1523,3.3023928
1524,3.30239073
1525,3.3023881
1526,4.63704787
1527,4.6370496
1528,4.6370495
1529,4.637038
1530,4.637038
1531,3.1810781
1532,3.1810697
1533,3.1810778
1534,3.180362
1535,4.6058787
1536,4.606184
1537,4.6058749
1538,4.6058754
1539,4.6058791
1540,3.54785091
1541,3.547854
1542,3.547851
1543,3.547851
1544,3.547851
1545,3.547851
1546,3.54785015
1547,3.54785
1548,3.174351
1549,3.17435042
1550,3.1743516
1551,3.1743516
1552,3.17435131
1553,3.37796143
1554,3.3779344
1555,3.37796
1556,2.8126548
1557,2.8126535
1558,2.8126545
1559,2.81264847
1560,2.54956317
1561,2.54956108
1562,2.5495551
1563,2.549564
1564,2.5495633
1565,2.5495627
1566,2.5495614
1567,2.1061607
1568,2.106161
1569,2.10615688
1570,2.10616098
1571,1.8210014
1572,1.8210003
1573,1.82069
1574,1.82100088
1575,1.8209993
1576,4.175187
1577,4.175235
1578,4.175186
1579,4.1752387
1580,4.3315366
1581,4.375021
1582,4.37446138
1583,4.375042
1584,4.5776335
1585,4.5776346
1586,4.57686515
1587,4.5776375
1588,4.5776348
1589,2.5167281
1590,2.51672679
1591,2.5167278
1592,2.51672626
1593,2.516729
1594,2.516729
1595,2.51672572
1596,3.26331647
1597,3.2642736
1598,3.2642736
1599,3.2642813
1600,4.193649
1601,4.1936623
1602,4.1936656
1603,4.19334221
1604,4.193649
1605,2.29210275
1606,2.29210299
1607,2.292102
1608,2.292102
1609,2.29203483
1610,4.3888499
1611,4.3888492
1612,4.38885165
1613,4.3888493
1614,4.3888479
1615,4.3888497
1616,2.7439001
1617,2.7439004
1618,2.74390294
1619,4.1876183
1620,4.187618
1621,4.18761538
1622,4.1876244
1623,4.1876194
1624,4.7423693
1625,4.7423714
1626,4.7423709
1627,4.7423719
1628,4.7423729
1629,3.92280161
1630,3.9228038
1631,3.9228038
1632,3.9228021
1633,3.1316671
1634,3.1316666
1635,3.13166726
1636,3.13167354
1637,4.1480467
1638,4.14703592
1639,4.7633877
1640,4.76339524
1641,4.763387
1642,4.76339
1643,4.763387
1644,4.76339004
1645,4.76338959
1646,3.8297015
1647,3.3488693
1648,3.3488702
1649,3.34890382
1650,3.34886782
1651,3.3488703
1652,1.3666563
1653,1.36665617
1654,1.36665436
1655,1.36665569
1656,3.8537768
1657,3.85377818
1658,3.8537616
1659,3.8537783
1660,2.5441537
1661,2.5441765
1662,2.5441828
1663,4.2042001
1664,4.2041844
1665,4.2041585
1666,4.2042001
1667,4.3247662
1668,4.3247661
1669,4.324799
1670,4.3247708
1671,2.350621
1672,2.35061721
1673,2.3506186
1674,2.35061769
1675,2.3506209
1676,4.21806868
1677,4.2180732
1678,4.2180733
1679,4.2180896
1680,5.4161077
1681,5.416081
1682,5.4161129
1683,1422.0
1684,3.32526424
1685,3.3252722
1686,3.3252715
1687,3.32527029
1688,3.3252725
1689,3.32526423
1690,3.560829
1691,3.5608064
1692,3.560832
1693,3.5608104
1694,3.5608112
1695,7.817932
1696,7.8181434
1697,7.817953
1698,3.2768837
1699,3.0566454
1700,3.0566527
1701,3.05662771
1702,3.0566527
1703,4.908897
1704,4.908886
1705,4.9088963
1706,4.90969003
1707,3.10515933
1708,3.105161
1709,3.141439
1710,3.1414391
1711,3.14138245
1712,1.6091845
1713,1.60918292
1714,1.6091788
1715,1.60918324
1716,3.5862962
1717,3.5862203
1718,3.5862211
1719,3.5862202
1720,3.5862207
1721,2.2252577
1722,2.2252525
1723,2.22505138
1724,2.2252577
1725,3.185315
1726,3.1853109
1727,3.1853186
1728,3.185315
1729,3.1853149
1730,1.8882393
1731,1.88823968
1732,1.8882378
1733,1.88823102
1734,1.8882378
1735,3.7955202
1736,3.79551778
1737,3.7955184
1738,3.7955195
1739,7.327945
1740,7.3279474
1741,7.3279496
1742,7.3279504
1743,1.73185606
1744,1.73185294
1745,2.7886556
1746,2.78865403
1747,1.9416423
1748,1.94163657
1749,3.0876262
1750,3.08762973
1751,3.583893
1752,3.583893
1753,1.915291
1754,1.9153073
1755,1.9153073
1756,1.915311
1757,1.915298
1758,1.9153196
1760,157.57
1761,157.57001
1762,383.70001
1763,383.0
1764,383.7
1765,5.75969
1766,5.75979
1767,16.357
1768,16.3579
1769,49.748
1770,49.745
1771,122.76
1772,122.744
1773,604.67
1774,601.2
1775,2222.0
1776,2205.0
1777,70.46
1778,70.46
1779,20.8133
1780,20.67
1781,20.8133
1782,20.8
1783,20.8079
1784,4.079
1785,4.113775
1786,4.11434
1787,4.11377
1788,127.58
1789,127.58
1791,778.1
1792,778.09998
1793,1123.0
1794,122.1
1795,3090.942
1796,6.4947
1797,6.4948
1798,6.495
1799,47.84
1800,47.84
1801,4.5557
1802,5.8881
1803,1919.0
1804,1894.0
1805,120.878
1806,55.828
1807,55.806
1808,55.851
1809,55.806
1810,13.8992
1811,1032.3
1812,1043.0
1813,1053.2
1814,1043.0
1815,199.68
1816,198.2
1817,199.505
1818,10.02245
1819,77114.07158
1820,2412.0
1821,1531.0
1822,1600.0
1823,1531.0
1824,1535.0
1825,1600.0
1826,1890.0
1827,1888.0
1828,1872.0
1829,2890.0
1830,9.55385
1831,9.5521
1832,9.55237
1833,9.55804
1834,9.554515
1835,21.058
1836,21.057504
1837,21.05603
1838,21.05683
1839,21.05731
1840,21.0576
1841,21.056614
1842,21.05704
1843,21.05788
1844,989.2
1845,1003.0
1846,3626.0
1847,3630.0
1849,3586.86089
1852,1075.2
1853,1076.4
1854,1075.5
1855,1075.69
1856,1075.3799
1857,1075.65
1858,77.181
1859,48.056
1860,18.3267
1861,10.901
1862,10.8985
