,st_dens,st_logg
3388,1.234,4.38
3391,1.3442,4.43
3401,0.9284,4.32
3403,1.3085,4.42
3408,1.7111,4.48
3411,0.3996,4.08
3412,0.259,4.05
3415,2.4578,4.58
3426,0.2362,3.95
3440,0.7101,4.25
3449,0.147,3.82
3451,0.137,3.79
3452,0.1062,3.68
3467,0.6074,4.2
3494,0.5116,4.14
3500,1.2379,4.41
3514,0.5503,4.19
3539,3.2066,4.61
3540,1.218,4.39
3561,1.3052,4.43
3571,0.4113,4.11
3583,1.2446,4.4
3586,0.3654,4.07
3589,1.2086,4.41
3623,1.0092,4.35
3626,1.6763,4.48
3633,3.2162,4.61
3637,6.6644,4.77
3665,1.6572,4.49
3672,5.3738,4.73
3676,0.1131,3.73
3680,0.7306,4.27
3692,0.5065,4.16
3704,0.822,4.28
3705,0.834,4.32
3710,0.516,4.17
3712,0.497,4.19
3717,0.59,4.37
3719,0.72,4.37
3727,0.2862,3.98
3745,1.6562,4.5
3752,0.9988,4.36
3757,0.8913,4.31
3770,0.6475,4.25
3772,0.568,4.19
3775,2.0795,4.53
3784,0.6176,4.21
3789,1.411,4.43
3802,2.0357,4.54
3825,0.5795,4.18
3833,0.1186,3.72
3838,0.3157,4.03
3845,0.6238,4.21
3846,0.0868,3.67
3855,1.4929,4.45
3861,0.1198,3.73
3872,2.5329,4.57
3883,0.2037,3.9
3892,0.7253,4.25
3902,2.7372,4.6
3903,2.5832,4.49
3905,1.1739,4.41
3917,0.1558,3.8
3929,0.5547,4.17
3969,0.4129,4.09
3978,0.2396,3.93
3986,2.6454,4.58
4000,0.2479,3.93
4010,0.3508,4.04
4015,62.7559,5.22
4017,1.0149,4.35
4027,1.3412,4.43
4028,6.9703,4.78
4042,2.968,4.62
4061,1.3202,4.41
4064,1.24,4.41
4070,1.7567,4.49
4076,0.1815,3.87
4080,2.4215,4.57
4097,1.5651,4.46
4110,0.9071,4.32
4128,0.2917,3.98
4130,1.0897,4.36
4146,2.3967,4.56
4159,2.3933,4.56
4161,0.6329,4.28
4173,0.2145,3.92
4187,0.6916,4.24
4193,5.7972,4.74
4205,0.0873,3.63
4219,1.7312,4.49
4221,0.4156,4.1
4227,0.53,4.2
4229,0.556,4.21
4230,0.59,4.22
4231,0.4,4.33
4245,0.2577,3.95
4271,2.2222,4.56
4275,0.8588,4.3
4285,2.2958,4.55
4289,1.4678,4.45
4327,1.2862,4.41
4332,0.2585,3.95
4350,0.8598,4.32
4384,6.2787,4.76
4386,86.5607,5.28
4401,1.2677,4.4
4424,2.1421,4.53
4439,0.4271,4.1
4449,0.6944,4.24
4457,1.5875,4.45
4459,1.58,4.47
4461,1.53,4.5
4462,1.5835,4.48
4471,0.1624,3.82
4481,2.712,4.59
4482,2.3176,4.56
4485,2.241,4.4
4494,0.6538,4.24
4514,0.963,4.33
4534,1.1289,4.38
4536,0.205,3.89
4547,1.3001,4.42
4552,2.5296,4.58
4555,24.323,5.02
4559,2.629,4.59
4560,2.79,4.61
4561,2.65,4.49
4562,2.28,4.56
4565,1.98,4.69
4573,2.56,4.58
4594,3.2532,4.64
4618,21.8169,5.0
4620,0.867,4.29
4649,0.4182,4.09
4655,0.1261,3.75
4666,0.5461,4.17
4669,1.7175,4.49
4672,1.37,4.3
4674,1.55,4.4
4675,1.4082,4.41
4681,2.5391,4.58
4711,2.1457,4.54
4725,0.9849,4.34
4737,0.4492,4.11
4748,0.5235,4.16
4756,9.2493,4.84
4773,0.6829,4.24
4774,0.3127,4.02
4788,0.5681,4.2
4795,1.0386,4.37
4801,0.2772,3.99
4819,1.6896,4.48
4838,1.25,4.41
4856,0.14,3.85
4858,0.0986,3.7
4859,1.975,4.53
4867,1.0409,4.35
4868,0.88,4.4
4874,0.9519,4.34
4889,1.0154,4.35
4902,2.3564,4.56
4905,4.6094,4.69
4908,0.2471,3.96
4910,0.6794,4.26
4922,0.1298,3.75
4934,0.8506,4.34
4937,2.1466,4.52
4941,2.4954,4.51
4953,1.0248,4.35
4961,1.962,4.52
4969,1.5247,4.46
4977,2.3804,4.56
4978,2.39,4.56
4980,2.522,4.58
4990,1.7039,4.48
5014,1.048,4.37
5029,2.4525,4.56
5037,1.024,4.36
5038,0.82,4.28
5044,1.033,4.37
5051,0.9537,4.34
5061,1.04,4.45
5064,0.73,4.5
5066,1.024,4.38
5074,1.354,4.43
5079,0.9945,4.33
5111,0.7371,4.28
5112,0.7711,4.26
5117,4.2377,4.69
5128,1.0832,4.39
5144,35.8564,5.1
5151,0.441,4.12
5159,0.5557,4.17
5162,1.1658,4.39
5169,1.127,4.38
5170,1.0111,4.35
5177,2.405,4.59
5183,2.6764,4.57
5187,0.1594,3.82
5191,2.3989,4.56
5202,1.3454,4.43
5204,1.35,4.42
5209,1.9778,4.51
5213,0.2842,3.99
