,st_age,st_lum
6937,7.847,0.253
6952,3.28,0.334
6956,3.5,0.29
6961,4.0,0.756
6964,5.36,0.77
6971,3.56,0.46
6982,5.0,0.188
6991,7.1,1.38
7001,3.1,0.309
7008,0.88,-0.409
7023,2.71,0.03
7051,2.67,0.24
7069,8.0,-0.109
7072,1.79,-0.077
7075,1.48,1.78
7086,0.15,3.261
7090,7.0,1.143
7097,2.9,0.18
7098,1.0,0.152
7099,2.84,0.215
7106,2.35,0.161
7129,3.2,-0.06
7132,2.64,-0.104
7133,1.0,-0.141
7146,7.2,-0.367
7172,3.61,0.38
7176,6.5,0.37
7184,4.6,0.072
7186,1.5,0.025
7194,2.24,0.66
7227,9.8,-0.498
7235,7.6,-0.471
7237,9.84,-0.456
7244,6.88,0.5
7249,5.37,0.57
7263,7.0,0.13
7264,6.76,0.09
7265,2.31,0.113
7269,9.4,0.356
7271,7.53,0.425
7272,4.18,0.433
7313,2.6,-0.102
7316,4.4,-0.143
7331,9.0,0.382
7340,2.1,0.02
7344,3.5,0.091
7361,1.0,-0.449
7365,3.3,0.207
7367,1.3,0.068
7368,1.4,0.098
7377,5.733,0.516
7390,2.5,1.13
7392,1.85,1.19
7400,5.5,2.28
7411,5.08,-0.31
7420,2.92,0.95
7426,9.0,1.104
7435,5.62,0.53
7442,4.85,0.57
7446,8.6,0.14
7453,8.12,0.17
7467,0.003,1.602
7472,3.9,-0.455
7474,0.64,-0.444
7478,6.0,-0.45
7490,4.0,1.049
7494,2.41,1.2
7497,4.44,-0.014
7499,2.3,-0.066
7507,7.39,-0.22
7517,1.0,-0.29
7528,1.88,-0.119
7529,4.0,-0.379
7552,8.6,-0.469
7558,2.1,1.188
7568,1.6,-0.081
7603,3.4,1.14
7604,5.5,-0.473
7619,9.4,-0.26
7627,6.0,-0.018
7629,5.84,-0.01
7689,6.0,-0.959
7699,6.9,-0.682
7704,9.15,1.05
7707,7.87,0.19
7756,4.1,-0.678
7774,7.9,-0.818
7778,0.017,0.243
7779,0.017,0.243
7821,4.3,1.02
7825,4.16,-0.06
7862,8.36,-0.222
7868,6.0,-0.08
7887,12.3,0.049
7905,4.55,0.89
7906,2.4,-0.222
7919,5.6,-0.072
7925,1.2,-0.325
7934,0.264,1.142
7936,4.4,-1.995
7944,3.1,0.072
7999,2.72,0.25
8024,0.06,0.692
8030,0.133,-0.914
8051,0.79,0.25
8066,0.79,-0.595
8077,0.79,-0.657
8086,0.79,-1.434
8137,10.77,0.279
8144,5.9,0.009
8151,7.2,-0.445
8310,5.5,0.943
8316,0.688,-0.785
8318,0.65,-0.777
8353,4.22,-0.049
8356,6.3,-0.75
8479,2.1,0.436
8593,2.07,-0.408
8734,5.04,-0.733
8907,1.43,0.238
8909,7.1,0.216
8915,0.36,-0.523
8919,1.02,0.371
8929,5.1,0.158
8976,0.73,-2.088
9007,1.0,-1.31
9018,4.83,0.346
9022,9.3,0.328
9027,7.0,-0.26
9202,0.12,-1.013
9215,1.0,-1.49
9218,1.0,-1.93
9230,2.6,-0.427
9245,3.72,-0.166
9274,1.0,-1.15
9279,6.9,-1.231
9285,3.9,-0.256
9288,2.2,-0.27
9302,1.0,-2.387
9357,1.8,-0.325
9361,0.009,-0.824
9364,0.007,-0.83
9425,4.24,0.484
9516,1.4,-0.57
9597,6.7,0.037
9735,7.4,-1.277
9963,0.85,-0.5
10038,1.0,-1.921
10060,0.79,-1.635
10066,0.8,-1.678
10104,4.5,0.217
10114,2.2,0.892
10130,3.1,-1.971
10131,3.1,0.401
10134,0.65,0.876
10140,1.9,0.813
10157,0.6,1.104
10163,1.6,0.905
10167,6.4,0.034
10178,0.78,0.565
10179,1.98,0.439
10185,3.0,0.489
10189,4.44,0.535
10196,6.1,0.493
10206,1.3,0.758
10217,0.3,1.724
10585,2.2,-0.223
10781,3.16,0.479
10834,11.9,0.002
10850,11.9,0.002
10851,10.6,0.002
12807,3.4,0.158
14766,1.5,-1.533
17449,2.2,0.799
17623,1.3,-1.158
18187,1.4,-1.247
18796,3.7,-0.087
19006,1.6,-1.695
19018,7.0,-0.129
19023,2.9,0.328
19481,3.9,-0.606
19553,2.9,-1.21
20114,3.4,-0.652
20300,9.4,-0.171
20667,5.7,-0.114
20878,3.2,-1.638
20890,7.7,-0.636
20897,5.0,0.09
21112,7.1,-0.539
21125,3.3,-0.57
21572,7.4,0.452
21587,2.59,0.354
21592,3.16,0.182
22806,10.0,-0.031
23613,4.0,-1.385
23646,4.0,-1.26
24411,0.105,-0.092
24859,7.4,0.294
25292,8.8,-0.149
25301,8.8,-0.069
25585,3.03,0.715
26164,6.0,0.362
26324,6.0,-1.253
26455,7.7,0.064
26762,2.75,0.422
27902,0.65,0.061
28110,4.2,-1.569
29117,4.27,0.556
29930,6.8,0.462
30823,1.6,-1.194
30932,4.5,0.354
31177,2.76,0.435
31406,4.5,-2.62
31423,4.0,-0.398
31480,5.0,-0.323
31496,6.0,-0.089
31520,7.0,0.29
31534,5.0,-0.39
31626,2.67,0.88
31640,4.0,0.33
31665,2.25,1.129
31674,3.0,-0.701
31693,2.9,-0.762
31699,4.4,-1.357
31710,7.2,-0.236
31737,1.3,-1.102
31757,1.9,-1.051
31770,2.9,-0.932
31773,3.2,-0.664
32001,9.7,-0.255
32005,9.7,-0.255
32576,3.0,0.669
33591,8.8,-0.271
33719,6.8,-2.022
34338,3.8,0.299
34750,7.0,-0.678
34912,0.21,-0.157
35709,6.3,0.194
35847,9.8,-0.021
35988,3.5,0.618
36080,1.6,-1.385
37409,3.44,0.342
37567,3.84,0.605
37615,2.0,-0.77
38428,4.7,0.573
39224,2.0,-0.038
39373,4.86,1.225
39916,8.7,0.009
40361,0.105,-0.775
40801,8.07,-1.886
40806,0.8,-1.948
