,st_mass,st_lum
2725,1.17,0.19
2731,0.93,-0.159
2734,0.9,-0.249
2736,0.86,-0.246
2738,0.89,-0.164
2741,0.97,0.09
2743,1.32,0.853
2747,1.5,0.75
2750,1.11,0.42
2759,0.99,0.477
2776,1.07,0.135
2777,1.03,0.12
2779,1.1,0.128
2782,1.27,0.286
2790,1.22,0.303
2792,1.2,0.245
2793,1.26,0.272
2795,0.72,-0.767
2798,0.87,-0.15
2799,1.02,-0.141
2810,0.89,-0.381
2815,0.42,-1.63
2820,1.85,1.225
2823,1.41,1.24
2830,1.0,0.013
2837,0.97,-0.001
2846,1.05,0.099
2850,1.05,0.301
2851,1.05,0.214
2854,1.01,-0.084
2856,1.1,0.144
2857,1.06,0.26
2862,1.13,0.19
2864,1.2,0.22
2867,1.41,1.79
2869,1.06,0.016
2871,1.08,0.072
2873,0.88,-0.307
2880,2.28,2.3
2888,0.91,-0.362
2889,0.24,-2.14
2890,1.21,0.281
2895,0.26,-2.202
2896,1.29,0.301
2900,1.03,-0.013
2905,1.07,0.377
2906,0.7,-0.158
2908,0.96,-0.157
2912,0.93,-0.131
2917,0.78,-0.161
2921,0.71,-0.166
2924,1.94,1.581
2934,1.33,0.508
2937,1.4,2.701
2938,1.15,1.647
2942,1.8,2.453
2946,1.41,0.615
2951,0.59,-0.921
2952,0.7,-1.046
2958,0.63,-0.862
2962,1.49,2.464
2966,1.38,0.584
2968,1.47,0.583
2972,0.68,-0.54
2973,0.78,-0.495
2979,0.7,-0.57
2981,0.75,-0.59
2985,0.78,-0.542
2988,1.05,0.42
2989,0.95,0.339
2990,0.34,-1.702
3007,0.94,0.334
3008,0.85,-0.377
3023,0.85,-0.411
3024,0.79,-0.413
3027,0.85,-0.372
3028,1.03,0.151
3033,1.12,0.337
3035,1.19,0.36
3036,1.24,0.33
3037,1.25,0.286
3041,1.24,0.328
3044,1.05,0.481
3053,1.58,1.053
3056,1.0,0.043
3060,0.99,0.066
3065,0.98,0.064
3084,1.05,0.18
3088,1.1,0.213
3090,1.08,0.201
3099,1.35,0.646
3100,1.05,0.643
3102,1.25,0.618
3104,1.22,0.7
3106,0.88,0.458
3114,0.91,0.459
3117,0.6,-1.098
3119,1.1,0.47
3122,2.13,1.84
3130,2.12,1.63
3134,2.66,1.797
3137,2.39,1.64
3138,2.16,1.738
3140,1.18,0.19
3144,1.13,0.185
3146,1.1,0.174
3148,1.12,0.15
3150,1.1,0.575
3154,1.16,0.338
3160,1.05,0.021
3162,0.75,-0.604
3171,0.7,-0.602
3176,0.75,-0.611
3178,0.2,-2.319
3180,1.11,0.06
3181,1.05,0.129
3185,1.1,0.001
3186,1.09,0.037
3199,1.0,-0.04
3200,0.88,-0.046
3205,1.02,0.063
3208,1.0,0.133
3215,1.1,0.033
3221,1.15,0.083
3224,0.3,-2.018
3227,0.96,0.163
3235,0.81,-0.518
3246,0.83,-0.495
3251,0.8,-0.575
3254,0.65,-0.444
3255,0.78,-0.432
3256,0.79,-0.427
3265,1.0,0.087
3274,0.9,-0.273
3280,0.93,-0.239
3281,0.88,-0.309
3287,1.61,0.991
3295,1.01,0.969
3304,1.03,0.26
3311,1.14,0.182
3315,1.23,0.374
3317,1.06,-0.013
3323,1.06,-0.017
3327,1.09,0.158
3331,1.09,0.173
3333,1.09,0.16
3335,1.07,0.201
3337,0.98,0.049
3341,1.05,0.065
3342,1.06,0.072
3344,1.0,0.061
3347,1.1,0.255
3350,1.03,0.155
3352,1.02,0.194
3353,1.1,0.144
3356,1.05,0.212
3366,1.12,0.344
3370,1.02,0.045
3371,0.91,0.039
3375,1.18,0.569
3377,0.91,0.037
3378,0.87,0.016
3385,0.81,-0.003
3388,0.91,0.034
3391,1.03,0.012
3392,0.81,-0.004
3395,1.33,0.833
3401,1.04,0.134
3403,1.05,0.055
3405,0.86,-0.337
3408,0.88,-0.278
3411,1.03,0.366
3415,0.85,-0.434
3417,0.78,-0.409
3420,0.7,-0.434
3423,1.29,0.602
3426,1.21,0.711
3428,1.02,0.196
3440,1.06,0.24
3449,1.32,0.66
3451,1.26,0.635
3452,0.96,0.647
3456,2.4,1.898
3467,1.07,0.302
3482,1.11,0.346
3493,1.14,0.201
3494,0.97,0.213
3500,1.06,0.08
3501,1.1,-0.026
3502,1.03,0.022
3508,1.1,0.068
3513,1.07,0.063
3514,1.21,0.466
3517,1.23,0.477
3518,1.25,0.422
3532,1.29,0.428
3539,0.63,-1.043
3540,0.96,-0.054
3541,1.0,-0.091
3542,0.99,0.004
3548,1.69,1.13
3554,1.15,0.034
3560,1.03,0.06
3561,1.09,0.098
3571,1.22,0.554
3577,0.95,-0.092
3583,0.97,-0.054
3586,1.16,0.537
3587,1.12,0.193
3589,1.1,0.136
3595,1.9,1.655
3612,1.03,0.107
3614,0.94,0.075
3619,1.02,0.075
3621,1.02,0.075
3623,1.03,0.095
3626,0.96,-0.149
3632,0.41,-1.523
3633,0.63,-1.045
3634,0.6,-0.971
3636,0.59,-1.0
3637,0.46,-1.577
3644,0.58,-1.097
3659,1.06,-0.012
3660,1.11,-0.01
3661,1.07,0.013
3665,1.06,0.0
3667,1.1,-0.033
3672,0.51,-1.418
3675,1.38,0.777
3676,1.18,0.894
3680,1.18,0.356
3681,1.22,0.25
3688,1.21,0.33
3692,1.12,0.406
3700,1.45,0.78
3702,1.41,0.91
3704,1.29,0.386
3710,1.14,0.42
3712,1.34,0.48
3715,1.3,0.43
3718,1.3,0.44
3723,1.2,0.276
3726,1.2,0.35
3727,1.06,0.504
3728,1.21,0.378
3730,1.3,1.982
3733,1.61,1.064
3736,1.53,1.14
3741,1.03,0.045
3745,1.09,0.03
3752,1.14,0.231
3757,1.04,0.155
3761,1.1,0.107
3765,0.93,1.173
3770,1.25,0.45
3775,0.88,-0.339
3778,0.85,-0.326
3782,1.12,0.346
3784,1.11,0.342
3789,0.94,-0.137
3792,0.91,-0.131
3793,0.88,-0.163
3800,0.92,-0.143
3802,0.95,-0.219
3806,0.89,-0.187
3818,2.07,1.581
3821,1.08,0.281
3825,1.03,0.257
3833,0.99,0.663
3838,1.23,0.641
3845,1.08,0.3
3846,1.29,1.066
3855,0.94,-0.144
3859,1.24,0.66
3861,1.07,0.774
3865,1.25,0.731
3866,0.74,-0.509
3870,0.77,0.23
3872,0.79,-0.54
3876,1.43,0.697
3881,1.38,0.62
3883,1.13,0.679
3886,1.65,0.61
3888,1.65,1.076
3891,1.15,0.243
3892,1.04,0.213
3900,1.8,3.015
3902,0.8,-0.547
3903,0.79,-0.569
3905,1.15,0.191
3908,1.12,0.114
3909,0.92,0.488
3917,0.97,0.556
3921,1.08,0.53
3922,1.33,0.81
3927,1.31,0.82
3929,1.03,0.278
3931,1.07,0.242
3936,1.15,0.303
3944,1.1,0.251
3950,1.06,1.751
3952,1.1,0.358
3966,1.05,0.24
3969,1.03,0.364
3971,1.06,0.298
3976,1.28,1.19
3978,1.07,0.571
3979,1.34,0.508
3985,0.7,-0.602
3986,0.77,-0.587
3992,0.69,-0.613
3994,0.75,-0.602
3996,0.75,-0.688
4000,0.97,0.417
4001,1.12,0.42
4003,1.09,0.362
4007,1.21,0.42
4010,1.05,0.435
4011,1.12,0.465
4015,0.11,-2.971
4016,1.15,0.399
4017,1.06,0.138
4020,1.12,0.12
4025,1.13,0.061
4027,1.03,0.017
4028,0.44,-1.549
4033,0.97,0.037
4042,0.78,-0.605
4050,0.93,-0.119
4054,0.95,-0.171
4057,0.93,-0.149
4059,0.87,-0.153
4061,0.92,-0.14
4064,1.06,0.083
4070,0.94,-0.196
4071,1.02,-0.155
4076,1.23,0.799
